user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
31600113,foreverzsh,16,38,1190,1981,12,[],23,2,"[{'liuyan_user_id': '42536543', 'liuyan_time': '2016-01-27 11:14:43'}, {'liuyan_user_id': '42536543', 'liuyan_time': '2016-01-27 11:12:55'}]"
31600335,myyuling,19,33,1186,1876,14,[],19,0,[]
31600741,kwinkwin,15,35,1164,1813,15,[],36,0,[]
31612229,美小娈超无敌,15,34,1188,1835,9,[],21,0,[]
31617018,wangyang,18,33,1197,1778,17,[],25,3,"[{'liuyan_user_id': '77102149', 'liuyan_time': '2018-07-30 21:23:58'}, {'liuyan_user_id': '94106670', 'liuyan_time': '2017-09-25 17:21:31'}, {'liuyan_user_id': '66218542', 'liuyan_time': '2015-07-27 10:40:58'}]"
31626780,tigerwang,20,33,1186,1957,16,[],24,0,[]
31658805,马天羽,9,60,4,977,35,[],1,0,[]
31658897,zoebeebee,18,44,1166,1775,12,[],20,0,[]
31671480,marydada,21,54,1179,1978,13,[],17,0,[]
31675593,qingshuiyi,16,33,1194,1788,16,[],26,0,[]
31679117,sarah,18,39,1189,1920,14,[],28,0,[]
31726839,leoccc,18,35,1182,1722,15,[],23,0,[]
31735022,skyway,16,36,1202,1900,10,[],17,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-11-30 08:53:34'}]"
31756883,seasandpp,18,40,1210,1888,23,[],24,0,[]
31788427,victor_jonny,19,47,1183,1849,18,[],26,0,[]
31821798,bluelenny,19,33,1197,1826,10,[],18,0,[]
31834542,brandi,9,31,1181,1848,21,[],28,0,[]
31869626,jiuyexian,15,36,1189,1845,10,[],22,0,[]
31952290,sijiao,12,39,1200,1762,12,[],28,0,[]
31959092,xujiayin,20,31,1194,1799,11,[],20,1,"[{'liuyan_user_id': '39407798', 'liuyan_time': '2017-11-23 17:05:58'}]"
31974780,江南hanson,16,117,113,1089,38,[],16,0,[]
31977363,arielicy,16,32,1195,1795,14,[],20,0,[]
31984948,小小米娜,12,30,1192,1858,11,[],30,0,[]
31987421,ningjing,18,30,1179,1739,21,[],23,0,[]
32013339,美缘珠宝有限公司,14,32,1176,1742,22,[],26,0,[]
32034011,karenmaying,17,34,1193,1738,12,[],25,0,[]
32038819,soralovemaki,16,33,1192,1878,20,[],27,0,[]
32049663,hansnlau,20,34,1185,1840,11,[],24,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-07-04 09:47:04'}]"
32051567,棉花糖小白,15,38,1187,1782,7,[],15,0,[]
32056036,jason_yeo,14,37,1193,1885,13,[],26,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-10-30 03:54:54'}]"
32067500,gigilong,18,40,1185,1804,13,[],18,0,[]
32080690,grace_tbo,19,44,1184,1886,8,[],23,0,[]
32108414,不是很甜的兔兔,16,30,1180,1821,10,[],10,0,[]
32141097,dolphinjiao,15,32,1206,1805,13,[],29,0,[]
32143685,huangyunyun,12,34,1177,1921,14,[],18,1,"[{'liuyan_user_id': '88370199', 'liuyan_time': '2015-11-17 09:50:50'}]"
32148023,suyee,19,34,1183,1872,16,[],34,1,"[{'liuyan_user_id': '37022038', 'liuyan_time': '2015-08-20 21:29:30'}]"
32148127,ranranapple,15,29,1173,1689,7,[],34,0,[]
32169348,icerwang_xx,18,41,1173,1976,12,[],24,1,"[{'liuyan_user_id': '51064536', 'liuyan_time': '2016-09-26 11:19:28'}]"
32178838,dodolzg,17,31,1187,1780,12,[],28,0,[]
32204007,iamsteven,18,27,1191,1750,11,[],27,0,[]
